<DATE>;<CLOSE>
250623;1.116
260623;1.11606
270623;1.1183
280623;1.1147
290623;1.1117
300623;1.1167
20723;1.1167
30723;1.1157
40723;1.1147
50723;1.1125
60723;1.1165
70723;1.1243
90723;1.1244
100723;1.1293
110723;1.1375
120723;1.15351
130723;1.1635
140723;1.1597
160723;1.1597
170723;1.1619
180723;1.16549
190723;1.16518
200723;1.1539
210723;1.1546
230723;1.15402
240723;1.14916
250723;1.15635
260723;1.16038
270723;1.15051
280723;1.1482
300723;1.1492
310723;1.1468
10823;1.1456
20823;1.1394
30823;1.14342
40823;1.1454
60823;1.1435
70823;1.14518
80823;1.1416
90823;1.1398
100823;1.14
110823;1.1406
130823;1.14032
140823;1.1378
150823;1.13787
160823;1.13578
170823;1.13825
180823;1.1327
200823;1.13293
210823;1.13763
220823;1.13575
230823;1.13937
240823;1.12914
250823;1.1304
270823;1.12998
280823;1.13161
290823;1.13744
300823;1.13863
310823;1.13153
10923;1.1287
30923;1.12938
40923;1.12994
50923;1.12404
60923;1.12165
70923;1.11995
80923;1.1194
100923;1.12069
110923;1.12168
120923;1.12151
130923;1.11894
140923;1.11556
150923;1.1135
170923;1.11474
180923;1.11425
190923;1.11416
200923;1.11155
210923;1.10517
220923;1.102
240923;1.10195
250923;1.09616
260923;1.09175
270923;1.08581
280923;1.09294
290923;1.0923
11023;1.0919
21023;1.08918
31023;1.0853
41023;1.0904
51023;1.0952
61023;1.0988
81023;1.0997
91023;1.1047
101023;1.10524
111023;1.10956
121023;1.10125
131023;1.1076
151023;1.1077
161023;1.11024
171023;1.1105
181023;1.1122
191023;1.1209
201023;1.1203
221023;1.11916
231023;1.12225
241023;1.11944
251023;1.11493
261023;1.1121
271023;1.1075
291023;1.1077
301023;1.1081
311023;1.09867
11123;1.10398
21123;1.10333
31123;1.1118
51123;1.11179
61123;1.1118
71123;1.11089
81123;1.11199
91123;1.10682
101123;1.1087
121123;1.1083
131123;1.109
141123;1.1244
151123;1.1268
161123;1.1251
171123;1.1287
191123;1.12849
201123;1.13051
211123;1.1316
221123;1.1307
231123;1.13032
241123;1.1326
261123;1.13326
271123;1.13615
281123;1.13989
291123;1.1446
301123;1.14296
11223;1.1504
31223;1.15217
41223;1.14571
51223;1.14248
61223;1.14311
71223;1.14192
81223;1.1359
101223;1.13652
111223;1.13823
121223;1.1424
131223;1.14787
141223;1.15305
151223;1.1487
171223;1.1481
181223;1.15303
191223;1.16151
201223;1.15897
211223;1.16757
221223;1.1679
241223;1.1661
251223;1.16783
261223;1.17099
271223;1.18655
281223;1.18508
291223;1.1877
311223;1.1879
10124;1.18742
20124;1.17598
30124;1.17728
40124;1.17584
50124;1.1752
70124;1.17482
80124;1.17893
90124;1.17274
100124;1.17547
110124;1.1745
120124;1.1725
140124;1.17135
150124;1.16789
160124;1.16051
170124;1.15671
180124;1.15184
190124;1.1515
210124;1.15108
220124;1.15015
230124;1.14957
240124;1.1583
250124;1.15283
260124;1.1571
280124;1.15657
290124;1.16058
300124;1.1601
310124;1.15921
10224;1.16573
20224;1.1532
40224;1.15311
50224;1.14807
60224;1.14973
70224;1.14372
80224;1.14461
90224;1.1428
110224;1.14361
120224;1.14152
130224;1.1267
140224;1.12942
150224;1.13629
160224;1.1348
180224;1.13518
190224;1.13258
200224;1.13366
210224;1.13717
220224;1.13604
230224;1.1344
250224;1.13442
260224;1.13601
270224;1.13741
280224;1.13779
290224;1.13048
10324;1.1316
30324;1.13173
40324;1.12944
50324;1.13156
60324;1.13342
70324;1.13968
80324;1.1389
100324;1.13942
110324;1.13964
120324;1.13945
