<DATE>;<EURUSD>;;;
40723;1.08817;;;
50723;1.08544;;;
60723;1.0889;;;
70723;1.0964;;;
90723;1.0967;;;
100723;1.10053;;;
110723;1.10129;;;
120723;1.11397;;;
130723;1.12227;;;
140723;1.1227;;;
160723;1.12269;;;
170723;1.12366;;;
180723;1.1228;;;
190723;1.1205;;;
200723;1.11346;;;
210723;1.11245;;;
230723;1.11239;;;
240723;1.10627;;;
250723;1.10491;;;
260723;1.10771;;;
270723;1.09774;;;
280723;1.10147;;;
300723;1.10238;;;
310723;1.09966;;;
10823;1.10072;;;
20823;1.09434;;;
30823;1.09509;;;
40823;1.10072;;;
60823;1.10022;;;
70823;1.10026;;;
80823;1.09588;;;
90823;1.09768;;;
100823;1.09809;;;
110823;1.09436;;;
130823;1.09433;;;
140823;1.09075;;;
150823;1.09035;;;
160823;1.08737;;;
170823;1.08744;;;
180823;1.08711;;;
200823;1.08749;;;
210823;1.08975;;;
220823;1.08462;;;
230823;1.0865;;;
240823;1.07982;;;
250823;1.0793;;;
270823;1.0797;;;
280823;1.08256;;;
290823;1.08692;;;
300823;1.09294;;;
310823;1.08419;;;
10923;1.07733;;;
30923;1.07748;;;
40923;1.0791;;;
50923;1.07241;;;
60923;1.07239;;;
70923;1.06968;;;
80923;1.0699;;;
100923;1.07155;;;
110923;1.07476;;;
120923;1.07522;;;
130923;1.07321;;;
140923;1.06343;;;
150923;1.06596;;;
170923;1.06672;;;
180923;1.06916;;;
190923;1.06814;;;
200923;1.06498;;;
210923;1.06598;;;
220923;1.06432;;;
240923;1.06475;;;
250923;1.05909;;;
260923;1.05688;;;
270923;1.05048;;;
280923;1.05623;;;
290923;1.05709;;;
11023;1.05641;;;
21023;1.04795;;;
31023;1.04686;;;
41023;1.05066;;;
51023;1.05463;;;
61023;1.05857;;;
81023;1.05657;;;
91023;1.05782;;;
101023;1.06043;;;
111023;1.0623;;;
121023;1.05353;;;
131023;1.05043;;;
151023;1.05213;;;
161023;1.05543;;;
171023;1.05724;;;
181023;1.05379;;;
191023;1.0586;;;
201023;1.05924;;;
221023;1.05895;;;
231023;1.06699;;;
241023;1.05942;;;
251023;1.05655;;;
261023;1.05635;;;
271023;1.05605;;;
291023;1.05616;;;
301023;1.06131;;;
311023;1.0578;;;
11123;1.05866;;;
21123;1.06153;;;
31123;1.073;;;
51123;1.07311;;;
61123;1.07179;;;
71123;1.06956;;;
81123;1.0711;;;
91123;1.06667;;;
101123;1.0684;;;
121123;1.06903;;;
131123;1.07006;;;
141123;1.08777;;;
151123;1.08534;;;
161123;1.08531;;;
171123;1.09112;;;
191123;1.09056;;;
201123;1.09443;;;
211123;1.09165;;;
221123;1.08871;;;
231123;1.09038;;;
241123;1.09367;;;
261123;1.09393;;;
271123;1.09583;;;
281123;1.10032;;;
291123;1.09732;;;
301123;1.08914;;;
11223;1.08818;;;
31223;1.08854;;;
41223;1.0837;;;
51223;1.0793;;;
61223;1.07657;;;
71223;1.07892;;;
81223;1.07608;;;
101223;1.07647;;;
111223;1.07652;;;
121223;1.07974;;;
131223;1.08826;;;
141223;1.09934;;;
151223;1.08922;;;
171223;1.08945;;;
181223;1.09235;;;
191223;1.09786;;;
201223;1.0943;;;
211223;1.10048;;;
221223;1.10118;;;
241223;1.10149;;;
251223;1.10178;;;
