TRADEDATE;CLOSE
22.06.2020;2763.29
23.06.2020;2791.97
25.06.2020;2760.75
26.06.2020;2761.74
29.06.2020;2767.95
30.06.2020;2743.2
02.07.2020;2788.79
03.07.2020;2801.66
06.07.2020;2835.18
07.07.2020;2825.21
08.07.2020;2815.83
09.07.2020;2782.43
10.07.2020;2800.94
13.07.2020;2766.79
14.07.2020;2744.54
15.07.2020;2747.91
16.07.2020;2760.01
17.07.2020;2774.79
20.07.2020;2802.24
21.07.2020;2825.71
22.07.2020;2834.65
23.07.2020;2851.79
24.07.2020;2863.12
27.07.2020;2884.88
28.07.2020;2895.45
29.07.2020;2918.42
30.07.2020;2882.63
31.07.2020;2911.57
03.08.2020;2929.97
04.08.2020;2940.46
05.08.2020;2992.78
06.08.2020;2988.5
07.08.2020;2972.35
10.08.2020;2960.78
11.08.2020;3005.63
12.08.2020;3053.99
13.08.2020;3080.44
14.08.2020;3061.99
17.08.2020;3052.46
18.08.2020;3050.7
19.08.2020;3056.54
20.08.2020;2993.69
21.08.2020;2995.61
24.08.2020;3029.42
25.08.2020;3029.05
26.08.2020;3051.97
27.08.2020;3012.01
28.08.2020;2980.17
31.08.2020;2966.2
01.09.2020;2975
02.09.2020;2956.5
03.09.2020;2931.92
04.09.2020;2921.55
07.09.2020;2932.29
08.09.2020;2888.79
09.09.2020;2876.07
10.09.2020;2897.55
11.09.2020;2910.51
14.09.2020;2928.38
15.09.2020;2980.58
16.09.2020;2975.01
17.09.2020;2971.74
18.09.2020;2951.79
21.09.2020;2863.67
22.09.2020;2884.66
23.09.2020;2916.39
24.09.2020;2912.76
25.09.2020;2896.83
28.09.2020;2927.17
29.09.2020;2910.12
30.09.2020;2905.81
01.10.2020;2889.8
02.10.2020;2852.42
05.10.2020;2881.98
06.10.2020;2892.99
07.10.2020;2842.58
08.10.2020;2846.39
09.10.2020;2834.09
12.10.2020;2846.14
13.10.2020;2829.23
14.10.2020;2856.08
15.10.2020;2817.29
16.10.2020;2799.54
19.10.2020;2794.27
20.10.2020;2803.06
21.10.2020;2786.23
22.10.2020;2803.17
23.10.2020;2816.7
26.10.2020;2785.59
27.10.2020;2763.03
28.10.2020;2693.46
29.10.2020;2709.04
30.10.2020;2690.59
02.11.2020;2737.54
03.11.2020;2786.42
05.11.2020;2861.39
06.11.2020;2895.62
09.11.2020;2987.75
10.11.2020;2998.61
11.11.2020;3015.03
12.11.2020;3025.83
13.11.2020;3025.22
16.11.2020;3079.74
17.11.2020;3052.22
18.11.2020;3080.68
19.11.2020;3046.49
20.11.2020;3051.04
23.11.2020;3047.06
24.11.2020;3095.84
25.11.2020;3134.52
26.11.2020;3138.62
27.11.2020;3142.68
30.11.2020;3107.58
01.12.2020;3147.79
02.12.2020;3189.61
03.12.2020;3162.67
04.12.2020;3184.72
07.12.2020;3195.08
08.12.2020;3179.61
09.12.2020;3211.66
10.12.2020;3258.31
11.12.2020;3276.58
14.12.2020;3254.83
15.12.2020;3248.11
16.12.2020;3269.95
17.12.2020;3282.67
18.12.2020;3273.75
21.12.2020;3186.38
22.12.2020;3236.46
23.12.2020;3252.1
24.12.2020;3236.88
25.12.2020;3246.35
28.12.2020;3258.95
29.12.2020;3274.67
30.12.2020;3289.02
04.01.2021;3350.51
05.01.2021;3359.15
06.01.2021;3371.03
08.01.2021;3454.82
11.01.2021;3482.48
12.01.2021;3471.65
13.01.2021;3470.26
14.01.2021;3490.85
15.01.2021;3450.95
18.01.2021;3471.92
19.01.2021;3443.23
20.01.2021;3466.8
21.01.2021;3422.67
22.01.2021;3382.92
25.01.2021;3397.48
26.01.2021;3390.76
27.01.2021;3343.62
28.01.2021;3342.01
29.01.2021;3277.08
01.02.2021;3291.14
02.02.2021;3360.25
03.02.2021;3343.46
04.02.2021;3372
05.02.2021;3392.73
